comment,clean,label_manual,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
"@klandes10_fikrie ada kok di email, tapi mitranya yang ngabarin kalo misal ga lolos",email mitra ngabarin lolos,1,Netral,Netral,Netral,neutral,negative
yg saya knpa mitra nya masih dalam proses??,mitra proses,1,Netral,Netral,Netral,neutral,negative
Semoga masih ada harapan O,moga harap,2,Netral,Positif,Netral,positive,neutral
Dah lah,deh,0,Netral,Positif,Positif,negative,positive
"@spontanahuy udah terakhir kayanya, cek terus aja offering nya di platform",kayak cek offering platform,1,Netral,Negatif,Netral,neutral,neutral
Ya Allah ini sudah tanggal 13 masa di platform dan email tidak ada pemberitahuan sama sekali,allah tanggal platform email pemberitahuan,1,Netral,Netral,Negatif,neutral,negative
@spontanahuy tanggal 15 terakhirnya Oû ada bbrpa perusahaan yg masih nerima. Tunggu email & ditelp aja ka,tanggal akhir usaha terima tunggu email ditelp,1,Netral,Netral,Netral,neutral,neutral
@spontanahuy ga ush berharap lgi udh tgl segini wkwk,harap tanggal gin wkwk,0,Netral,Netral,Negatif,neutral,neutral
@spontanahuy asliii butuh kepastian,asli butuh pasti,2,Positif,Positif,Netral,positive,neutral
Siapa saja yg lolos utk ikut survei diinfokan dimna ya,lolos survei info dimna,1,Netral,Netral,Netral,neutral,neutral
Jadi min untuk pengumuman magang merdeka nya udah selesai ya? Tolong direspon biar ga berharap lagi :(,umum magang merdeka selesai tolong direspon biar harap,0,Positif,Netral,Netral,neutral,neutral
